"01-01-2010",176,43,17,92,168,149,179,175,124,109,28,4,2,1,1,1,1,1,1,4,46,16,3,6
"02-01-2010",6,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1
"03-01-2010",3,1,3,5,4,11,14,3,1,1,2,1,1,1,1,1,1,1,1,1,1,4,5,2
"04-01-2010",7,9,3,1,1,4,3,12,6,5,10,4,5,5,5,6,5,3,3,5,6,3,2,1
"05-01-2010",2,2,1,1,2,16,42,70,93,106,29,44,12,5,5,4,3,3,3,3,3,3,2,2
"06-01-2010",1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2
"07-01-2010",2,1,1,2,2,3,6,12,18,10,7,6,7,6,5,5,4,10,12,51,165,250,253,203
"08-01-2010",108,74,30,48,67,118,243,375,423,361,74,10,7,7,7,5,4,6,6,3,3,3,4,2
"09-01-2010",1,1,1,1,2,3,4,3,3,3,2,2,3,3,2,2,2,1,1,2,2,3,2,2
"10-01-2010",2,2,2,3,4,11,2,3,14,3,2,3,2,2,2,1,1,1,1,2,1,1,1,1
"11-01-2010",4,2,1,1,1,3,5,27,31,12,6,6,7,8,11,9,6,7,6,5,12,3,5,6
"12-01-2010",22,7,2,12,5,31,112,99,263,239,199,151,42,31,11,9,15,51,74,80,110,105,81,80
"13-01-2010",46,41,70,54,35,10,23,98,183,82,11,7,5,7,7,10,12,15,7,6,7,9,3,3
"14-01-2010",2,2,1,1,1,3,3,7,12,8,8,8,8,12,9,10,15,8,7,9,6,5,3,2
"15-01-2010",6,3,6,5,8,14,107,104,151,85,46,22,17,13,11,6,4,4,7,10,5,3,2,2
"16-01-2010",1,1,1,1,1,1,2,1,2,2,2,3,3,4,3,3,2,2,2,3,3,2,1,1
"17-01-2010",1,1,1,1,1,1,1,2,2,3,3,3,4,5,5,3,3,2,4,5,4,3,5,28
"18-01-2010",20,13,24,4,14,96,148,159,147,80,49,27,32,22,12,13,18,17,11,6,4,2,1,4
"19-01-2010",14,4,2,1,1,3,14,38,40,32,17,9,11,10,10,10,6,5,5,18,2,7,2,1
"20-01-2010",1,1,1,1,1,48,20,20,49,25,18,14,10,8,6,5,6,7,8,34,66,94,68,33
"21-01-2010",44,50,45,27,37,52,121,169,251,268,129,10,9,8,8,6,6,4,3,4,7,5,2,2
"22-01-2010",1,1,1,1,1,1,2,8,14,7,17,15,8,8,10,7,8,5,10,5,4,3,2,2
"23-01-2010",1,1,1,1,1,1,2,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2
"24-01-2010",1,1,1,1,1,1,1,2,3,3,-9999,-9999,-9999,-9999,5,6,2,2,3,4,4,5,2,1
"25-01-2010",1,1,1,1,1,3,4,22,9,7,7,8,7,6,6,5,5,4,3,4,3,2,1,1
"26-01-2010",1,1,1,1,1,1,2,4,9,9,6,5,7,8,8,9,7,4,3,3,3,2,1,1
"27-01-2010",1,1,1,1,1,2,5,6,8,10,8,6,8,11,16,17,15,9,8,10,15,9,3,4
"28-01-2010",2,2,3,3,12,34,38,97,101,41,87,112,91,45,21,62,67,46,67,101,147,129,141,134
"29-01-2010",131,116,178,167,167,185,237,287,454,362,214,38,14,12,7,8,7,5,6,24,88,81,204,271
"30-01-2010",267,216,165,118,155,151,160,176,303,292,72,5,5,4,3,4,5,12,39,38,181,63,3,12
"31-01-2010",26,3,2,2,5,9,4,11,33,5,4,3,3,3,3,4,1,1,2,1,5,3,4,43
"01-02-2010",102,6,2,3,7,16,16,13,20,12,10,8,8,8,7,5,10,5,50,112,180,72,91,96
"02-02-2010",118,44,4,11,1,6,25,22,7,6,9,11,32,8,6,7,5,4,2,2,3,1,1,1
"03-02-2010",1,1,1,1,1,1,2,6,9,10,11,9,8,7,6,6,5,7,22,77,129,87,116,77
"04-02-2010",105,150,134,138,147,212,342,392,410,240,20,14,8,6,10,5,5,5,16,67,116,118,214,203
"05-02-2010",160,122,110,93,116,104,184,233,402,371,21,15,7,7,7,6,5,4,3,16,35,35,13,15
"06-02-2010",8,2,2,3,5,46,74,54,72,94,21,5,4,3,3,3,3,2,2,2,2,2,2,4
"07-02-2010",4,2,3,3,7,3,4,15,28,17,16,16,3,3,2,2,3,4,7,7,20,9,23,13
"08-02-2010",23,64,31,28,20,13,18,42,99,77,39,21,6,11,9,8,12,14,17,12,7,15,11,6
"09-02-2010",3,2,6,2,7,48,113,112,134,146,43,33,25,10,8,7,10,7,8,24,11,8,4,2
"10-02-2010",1,1,1,1,2,49,214,129,8,6,6,6,6,6,3,3,3,2,2,2,2,2,2,3
"11-02-2010",21,2,5,20,24,20,39,39,30,17,8,7,7,6,7,6,6,4,4,6,10,12,22,24
"12-02-2010",10,4,2,12,10,207,167,208,167,95,8,8,8,8,9,7,6,3,3,4,3,3,3,3
"13-02-2010",9,5,2,35,33,38,3,7,5,4,3,5,3,2,3,2,2,1,2,2,2,3,12,3
"14-02-2010",29,17,9,4,5,7,35,53,44,22,14,9,7,4,2,2,2,3,6,12,26,45,33,12
"15-02-2010",4,2,2,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,7,9,2,14,23
"16-02-2010",24,27,28,48,31,58,129,216,287,259,117,26,8,8,6,6,6,5,5,5,23,35,47,35
"17-02-2010",66,74,47,15,16,22,55,104,154,122,23,9,9,7,5,5,5,5,12,16,34,60,89,97
"18-02-2010",78,67,33,12,40,122,256,286,374,236,21,9,7,8,6,6,7,8,42,40,55,24,21,30
"19-02-2010",2,3,3,2,3,11,115,228,292,217,86,37,10,8,7,7,7,5,4,3,3,3,3,6
"20-02-2010",4,2,1,2,3,43,48,59,184,246,110,10,9,9,4,3,4,2,2,3,2,2,3,6
"21-02-2010",4,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"22-02-2010",2,2,3,4,35,78,121,152,183,83,27,21,13,6,4,5,5,3,3,4,3,10,5,26
"23-02-2010",45,63,46,19,37,92,148,230,178,220,286,215,51,16,7,5,5,4,4,4,4,9,8,5
"24-02-2010",5,47,55,30,31,72,139,142,179,100,15,26,29,8,6,6,6,4,6,25,28,2,1,1
"25-02-2010",1,1,1,1,1,1,10,36,90,22,10,6,5,6,7,11,6,5,5,8,17,10,7,12
"26-02-2010",2,2,2,1,2,51,187,153,50,22,8,7,10,8,7,6,7,4,4,5,7,9,4,6
"27-02-2010",60,82,46,72,54,55,76,90,47,10,8,3,2,2,2,1,1,2,1,1,1,2,1,1
"28-02-2010",1,1,1,1,1,1,9,1,-9999,-9999,-9999,2,1,1,2,1,5,4,4,4,3,3,3,2
"01-03-2010",11,23,26,15,11,169,198,134,105,38,23,21,13,7,6,6,6,4,4,4,5,10,56,71
"02-03-2010",112,137,109,81,60,75,149,286,335,73,30,11,8,6,7,6,4,4,4,6,4,2,16,6
"03-03-2010",6,2,1,1,1,2,13,32,7,5,7,3,3,5,7,5,5,3,2,5,11,4,11,16
"04-03-2010",32,21,4,10,26,16,61,29,100,19,5,5,5,5,4,4,4,4,24,52,55,22,3,6
"05-03-2010",5,5,4,12,46,35,9,7,4,4,4,4,3,4,4,3,2,2,2,2,1,1,1,1
"06-03-2010",2,2,2,2,4,30,99,146,78,10,5,4,2,2,1,2,2,2,1,1,1,1,2,3
"07-03-2010",1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,2,2,2,2,3,2,2,1,1
"08-03-2010",1,1,1,1,1,1,2,2,3,5,5,5,23,34,24,8,14,16,16,4,4,2,1,3
"09-03-2010",10,3,2,2,6,6,60,35,67,22,16,11,5,5,8,9,6,5,3,4,5,3,2,1
"10-03-2010",1,1,1,1,1,1,3,4,7,7,6,7,5,6,7,5,5,4,2,3,3,3,2,1
"11-03-2010",1,1,1,1,1,3,31,59,52,48,22,13,11,6,4,3,4,3,2,2,3,3,4,2
"12-03-2010",14,3,10,25,22,39,106,138,71,11,5,4,4,4,5,4,4,4,2,2,2,2,1,5
"13-03-2010",8,13,2,5,3,8,43,92,73,8,7,12,4,5,4,2,2,3,2,2,2,1,1,2
"14-03-2010",2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1
"15-03-2010",1,1,1,1,1,2,3,5,7,11,6,6,6,5,7,5,3,3,2,2,1,5,10,27
"16-03-2010",35,21,35,17,21,43,81,73,24,19,8,5,7,6,5,4,3,2,2,3,30,63,75,54
"17-03-2010",21,28,47,41,42,50,100,263,118,37,6,4,3,4,3,4,3,3,2,2,1,1,1,1
"18-03-2010",1,1,1,1,4,22,10,15,15,9,5,5,3,7,5,5,5,4,3,3,4,6,3,5
"19-03-2010",30,46,22,10,12,65,134,233,225,76,37,41,20,7,6,6,5,4,3,3,5,11,32,60
"20-03-2010",81,44,35,24,40,39,83,128,140,26,9,5,3,2,2,2,3,3,2,3,6,4,3,3
"21-03-2010",45,112,97,51,20,22,24,38,26,10,8,5,4,2,2,2,2,2,2,4,5,12,4,9
"22-03-2010",4,21,20,31,25,73,139,186,176,63,34,20,9,7,5,5,6,3,4,3,3,4,6,3
